player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type,schools,school_source_datasets,espn_match_method,espn_id,espn_full_name,espn_league,espn_headshot_url,espn_local_file,espn_download_status,espn_http_status,espn_content_type,espn_school,espn_team_id,espn_team_display_name
Robert Dozier,robert dozier,historical,2009,2009,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Sergio Llull,sergio llull,historical,2009,2009,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Dwayne Collins,dwayne collins,historical,2010,2010,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Latavious Williams,latavious williams,historical,2010,2010,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Ryan Richards,ryan richards,historical,2010,2010,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Stanley Robinson,stanley robinson,historical,2010,2010,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Tiny Gallon,tiny gallon,historical,2010,2010,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Bojan Dubljevic,bojan dubljevic,historical,2013,2013,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Deshaun Thomas,deshaun thomas,historical,2013,2013,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Janis Timma,janis timma,historical,2013,2013,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Livio Jean-Charles,livio jean charles,historical,2013,2013,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Alec Brown,alec brown,historical,2014,2014,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Alessandro Gentile,alessandro gentile,historical,2014,2014,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
DeAndre Daniels,deandre daniels,historical,2014,2014,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Aaron White,aaron white,historical,2015,2015,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Arturas Gudaitis,arturas gudaitis,historical,2015,2015,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
JP Tokoto,jp tokoto,historical,2015,2015,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Nikola Milutinov,nikola milutinov,historical,2015,2015,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Olivier Hanlan,olivier hanlan,historical,2015,2015,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Isaia Cordinier,isaia cordinier,historical,2016,2016,2,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Isaiah Cousins,isaiah cousins,historical,2016,2016,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Rade Zagorac,rade zagorac,historical,2016,2016,2,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
Mathias Lessort,mathias lessort,historical,2017,2017,1,unmatched,,,,,,unmatched,,,,,unmatched,,,,,,unmatched,,,,,
