espn_id,full_name,first_name,last_name,league,active,display_height,display_weight,player_key,player_key_suffix_sensitive
4432932,Max Abmas,Max,Abmas,nba,False,"6' 0""",175 lbs,max abmas,max abmas
4431679,Precious Achiuwa,Precious,Achiuwa,nba,True,"6' 8""",243 lbs,precious achiuwa,precious achiuwa
2991235,Steven Adams,Steven,Adams,nba,True,"6' 11""",265 lbs,steven adams,steven adams
4066261,Bam Adebayo,Bam,Adebayo,nba,True,"6' 9""",260 lbs,bam adebayo,bam adebayo
4397018,Ochai Agbaji,Ochai,Agbaji,nba,True,"6' 5""",215 lbs,ochai agbaji,ochai agbaji
4684682,Jonas Aidoo,Jonas,Aidoo,nba,False,"6' 11""",240 lbs,jonas aidoo,jonas aidoo
4397072,James Akinjo,James,Akinjo,nba,False,"6' 1""",190 lbs,james akinjo,james akinjo
4593125,Santi Aldama,Santi,Aldama,nba,True,"7' 0""",215 lbs,santi aldama,santi aldama
4433268,Trey Alexander,Trey,Alexander,nba,True,"6' 5""",185 lbs,trey alexander,trey alexander
4278039,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,nba,True,"6' 5""",205 lbs,nickeil alexander walker,nickeil alexander walker
3135045,Grayson Allen,Grayson,Allen,nba,True,"6' 3""",198 lbs,grayson allen,grayson allen
4066328,Jarrett Allen,Jarrett,Allen,nba,True,"6' 9""",243 lbs,jarrett allen,jarrett allen
5165254,Akech Allir,Akech,Allir,nba,True,,,akech allir,akech allir
4277869,Jose Alvarado,Jose,Alvarado,nba,True,"6' 0""",179 lbs,jose alvarado,jose alvarado
2993874,Kyle Anderson,Kyle,Anderson,nba,True,"6' 8""",230 lbs,kyle anderson,kyle anderson
4432452,Alex Antetokounmpo,Alex,Antetokounmpo,nba,True,"6' 8""",214 lbs,alex antetokounmpo,alex antetokounmpo
3032977,Giannis Antetokounmpo,Giannis,Antetokounmpo,nba,True,"6' 11""",243 lbs,giannis antetokounmpo,giannis antetokounmpo
3102533,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,nba,True,"6' 7""",219 lbs,thanasis antetokounmpo,thanasis antetokounmpo
4432809,Cole Anthony,Cole,Anthony,nba,False,"6' 2""",185 lbs,cole anthony,cole anthony
3934719,OG Anunoby,OG,Anunoby,nba,True,"6' 7""",240 lbs,og anunoby,og anunoby
4896850,Taran Armstrong,Taran,Armstrong,nba,False,"6' 5""",190 lbs,taran armstrong,taran armstrong
5162195,C.J. Asuncion-Byrd,C.J.,Asuncion-Byrd,nba,True,,,c j asuncion byrd,c j asuncion byrd
4702099,Zack Austin,Zack,Austin,nba,False,"6' 5""",216 lbs,zack austin,zack austin
4683021,Deni Avdija,Deni,Avdija,nba,True,"6' 8""",228 lbs,deni avdija,deni avdija
4590527,Ben Ayre,Ben,Ayre,nba,False,,,ben ayre,ben ayre
4278129,Deandre Ayton,Deandre,Ayton,nba,True,"7' 0""",252 lbs,deandre ayton,deandre ayton
4871140,Ibou Badji,Ibou,Badji,nba,False,"6' 10""",240 lbs,ibou badji,ibou badji
4433147,Marcus Bagley,Marcus,Bagley,nba,False,"6' 6""",217 lbs,marcus bagley,marcus bagley
4277848,Marvin Bagley III,Marvin,Bagley III,nba,True,"6' 10""",235 lbs,marvin bagley,marvin bagley iii
4873138,Ace Bailey,Ace,Bailey,nba,True,"6' 9""",200 lbs,ace bailey,ace bailey
4896365,Adama Bal,Adama,Bal,nba,True,"6' 7""",200 lbs,adama bal,adama bal
4433246,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,nba,True,"6' 9""",220 lbs,patrick baldwin,patrick baldwin jr
4432816,LaMelo Ball,LaMelo,Ball,nba,True,"6' 7""",180 lbs,lamelo ball,lamelo ball
4066421,Lonzo Ball,Lonzo,Ball,nba,False,"6' 5""",190 lbs,lonzo ball,lonzo ball
4277919,Mo Bamba,Mo,Bamba,nba,False,"7' 0""",231 lbs,mo bamba,mo bamba
4432573,Paolo Banchero,Paolo,Banchero,nba,True,"6' 10""",250 lbs,paolo banchero,paolo banchero
4066320,Desmond Bane,Desmond,Bane,nba,True,"6' 6""",215 lbs,desmond bane,desmond bane
4397885,Dalano Banton,Dalano,Banton,nba,True,"6' 8""",203 lbs,dalano banton,dalano banton
2968437,David Barlow,David,Barlow,nba,True,"6' 9""",,david barlow,david barlow
4870562,Dominick Barlow,Dominick,Barlow,nba,True,"6' 9""",215 lbs,dominick barlow,dominick barlow
6578,Harrison Barnes,Harrison,Barnes,nba,True,"6' 7""",225 lbs,harrison barnes,harrison barnes
4433134,Scottie Barnes,Scottie,Barnes,nba,True,"6' 8""",237 lbs,scottie barnes,scottie barnes
4684208,Brooks Barnhizer,Brooks,Barnhizer,nba,True,"6' 6""",230 lbs,brooks barnhizer,brooks barnhizer
4395625,RJ Barrett,RJ,Barrett,nba,True,"6' 6""",214 lbs,rj barrett,rj barrett
4397886,Charles Bassey,Charles,Bassey,nba,True,"6' 10""",230 lbs,charles bassey,charles bassey
4683631,Daniel Batcho,Daniel,Batcho,nba,False,"6' 11""",245 lbs,daniel batcho,daniel batcho
4433620,Emoni Bates,Emoni,Bates,nba,False,"6' 8""",202 lbs,emoni bates,emoni bates
4683933,Tamar Bates,Tamar,Bates,nba,False,"6' 4""",195 lbs,tamar bates,tamar bates
4431893,Jamison Battle,Jamison,Battle,nba,True,"6' 7""",220 lbs,jamison battle,jamison battle
3416,Nicolas Batum,Nicolas,Batum,nba,True,"6' 7""",230 lbs,nicolas batum,nicolas batum
4431766,Damion Baugh,Damion,Baugh,nba,False,"6' 4""",194 lbs,damion baugh,damion baugh
6580,Bradley Beal,Bradley,Beal,nba,True,"6' 4""",207 lbs,bradley beal,bradley beal
3907822,Malik Beasley,Malik,Beasley,nba,False,"6' 4""",187 lbs,malik beasley,malik beasley
4432179,MarJon Beauchamp,MarJon,Beauchamp,nba,True,"6' 7""",199 lbs,marjon beauchamp,marjon beauchamp
4565203,Charles Bediako,Charles,Bediako,nba,False,"6' 11""",225 lbs,charles bediako,charles bediako
4432187,Reece Beekman,Reece,Beekman,nba,False,"6' 3""",190 lbs,reece beekman,reece beekman
5279133,Joan Beringer,Joan,Beringer,nba,True,"6' 11""",230 lbs,joan beringer,joan beringer
4397127,Jules Bernard,Jules,Bernard,nba,False,"6' 6""",210 lbs,jules bernard,jules bernard
5103881,Malcolm Bernard,Malcolm,Bernard,nba,False,,,malcolm bernard,malcolm bernard
4397136,Saddiq Bey,Saddiq,Bey,nba,True,"6' 8""",215 lbs,saddiq bey,saddiq bey
5311918,Ellis Biggar,Ellis,Biggar,nba,True,"6' 8""",,ellis biggar,ellis biggar
4348700,Goga Bitadze,Goga,Bitadze,nba,True,"6' 11""",250 lbs,goga bitadze,goga bitadze
6427,Bismack Biyombo,Bismack,Biyombo,nba,True,"6' 8""",255 lbs,bismack biyombo,bismack biyombo
4712849,Anthony Black,Anthony,Black,nba,True,"6' 7""",200 lbs,anthony black,anthony black
4395650,Leaky Black,Leaky,Black,nba,True,"6' 6""",209 lbs,leaky black,leaky black
4426157,Vrenz Bleijenbergh,Vrenz,Bleijenbergh,nba,False,"6' 10""",209 lbs,vrenz bleijenbergh,vrenz bleijenbergh
5091714,Campbell Blogg,Campbell,Blogg,nba,True,,,campbell blogg,campbell blogg
4395676,Buddy Boeheim,Buddy,Boeheim,nba,False,"6' 5""",205 lbs,buddy boeheim,buddy boeheim
3037789,Bogdan Bogdanovic,Bogdan,Bogdanovic,nba,True,"6' 5""",225 lbs,bogdan bogdanovic,bogdan bogdanovic
4397102,Bol Bol,Bol,Bol,nba,False,"7' 3""",220 lbs,bol bol,bol bol
4065652,Marques Bolden,Marques,Bolden,nba,False,"6' 10""",249 lbs,marques bolden,marques bolden
5105637,Adem Bona,Adem,Bona,nba,True,"6' 10""",235 lbs,adem bona,adem bona
3136193,Devin Booker,Devin,Booker,nba,True,"6' 5""",206 lbs,devin booker,devin booker
4432162,Brandon Boston,Brandon,Boston,nba,False,"6' 6""",188 lbs,brandon boston,brandon boston
3948153,Chris Boucher,Chris,Boucher,nba,False,"6' 8""",200 lbs,chris boucher,chris boucher
4280245,Jamaree Bouyea,Jamaree,Bouyea,nba,True,"6' 2""",180 lbs,jamaree bouyea,jamaree bouyea
5091547,Kyle Bowen,Kyle,Bowen,nba,True,,,kyle bowen,kyle bowen
5090590,Kingsley Box,Kingsley,Box,nba,True,,,kingsley box,kingsley box
4065673,Tony Bradley,Tony,Bradley,nba,True,"6' 10""",248 lbs,tony bradley,tony bradley
4279924,Pedro Bradshaw,Pedro,Bradshaw,nba,False,"6' 7""",180 lbs,pedro bradshaw,pedro bradshaw
4565201,Malaki Branham,Malaki,Branham,nba,False,"6' 4""",180 lbs,malaki branham,malaki branham
4431767,Christian Braun,Christian,Braun,nba,True,"6' 6""",220 lbs,christian braun,christian braun
4591259,Koby Brea,Koby,Brea,nba,True,"6' 5""",215 lbs,koby brea,koby brea
4432946,Jalen Bridges,Jalen,Bridges,nba,False,"6' 7""",225 lbs,jalen bridges,jalen bridges
3147657,Mikal Bridges,Mikal,Bridges,nba,True,"6' 6""",209 lbs,mikal bridges,mikal bridges
4066383,Miles Bridges,Miles,Bridges,nba,True,"6' 7""",225 lbs,miles bridges,miles bridges
4278031,Oshae Brissett,Oshae,Brissett,nba,False,"6' 7""",210 lbs,oshae brissett,oshae brissett
5090856,Ryan Broekhoff,Ryan,Broekhoff,nba,False,,,ryan broekhoff,ryan broekhoff
2566769,Malcolm Brogdon,Malcolm,Brogdon,nba,False,"6' 4""",229 lbs,malcolm brogdon,malcolm brogdon
3155526,Dillon Brooks,Dillon,Brooks,nba,True,"6' 7""",225 lbs,dillon brooks,dillon brooks
4277908,Garrison Brooks,Garrison,Brooks,nba,False,"6' 10""",240 lbs,garrison brooks,garrison brooks
4431689,Keion Brooks Jr.,Keion,Brooks Jr.,nba,False,"6' 7""",210 lbs,keion brooks,keion brooks jr
4433569,Johni Broome,Johni,Broome,nba,True,"6' 10""",235 lbs,johni broome,johni broome
2531362,Anthony Brown,Anthony,Brown,nba,True,"6' 7""",224 lbs,anthony brown,anthony brown
4065670,Bruce Brown,Bruce,Brown,nba,True,"6' 4""",202 lbs,bruce brown,bruce brown
4397450,Darius Brown,Darius,Brown,nba,False,"6' 2""",195 lbs,darius brown,darius brown
3917376,Jaylen Brown,Jaylen,Brown,nba,True,"6' 6""",223 lbs,jaylen brown,jaylen brown
2596203,John Brown,John,Brown,nba,True,"6' 8""",210 lbs,john brown,john brown
4433254,Kendall Brown,Kendall,Brown,nba,False,"6' 6""",205 lbs,kendall brown,kendall brown
4431752,Kobe Brown,Kobe,Brown,nba,True,"6' 7""",250 lbs,kobe brown,kobe brown
4397126,Moses Brown,Moses,Brown,nba,False,"7' 2""",258 lbs,moses brown,moses brown
4066508,Charlie Brown Jr.,Charlie,Brown Jr.,nba,False,"6' 6""",199 lbs,charlie brown,charlie brown jr
