player_name,player_key,datasets,draft_year_min,draft_year_max,source_row_count,match_method,nba_person_id,nba_full_name,nba_is_active,headshot_url,local_file,download_status,http_status,content_type
Austin Daye,austin daye,historical,2009,2009,2,exact_full_name,201948.0,Austin Daye,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201948.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\austin_daye__201948.png,downloaded,200.0,image/png
Blake Griffin,blake griffin,historical,2009,2009,1,exact_full_name,201933.0,Blake Griffin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201933.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\blake_griffin__201933.png,downloaded,200.0,image/png
Brandon Jennings,brandon jennings,historical,2009,2009,2,exact_full_name,201943.0,Brandon Jennings,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201943.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\brandon_jennings__201943.png,downloaded,200.0,image/png
Chase Budinger,chase budinger,historical,2009,2009,2,exact_full_name,201978.0,Chase Budinger,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201978.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\chase_budinger__201978.png,downloaded,200.0,image/png
DaJuan Summers,dajuan summers,historical,2009,2009,2,exact_full_name,201969.0,DaJuan Summers,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201969.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\dajuan_summers__201969.png,downloaded,200.0,image/png
Dante Cunningham,dante cunningham,historical,2009,2009,1,exact_full_name,201967.0,Dante Cunningham,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201967.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\dante_cunningham__201967.png,downloaded,200.0,image/png
Darren Collison,darren collison,historical,2009,2009,1,exact_full_name,201954.0,Darren Collison,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201954.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\darren_collison__201954.png,downloaded,200.0,image/png
DeJuan Blair,dejuan blair,historical,2009,2009,2,exact_full_name,201971.0,DeJuan Blair,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201971.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\dejuan_blair__201971.png,downloaded,200.0,image/png
DeMar DeRozan,demar derozan,historical,2009,2009,1,exact_full_name,201942.0,DeMar DeRozan,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\demar_derozan__201942.png,downloaded,200.0,image/png
DeMarre Carroll,demarre carroll,historical,2009,2009,1,exact_full_name,201960.0,DeMarre Carroll,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201960.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\demarre_carroll__201960.png,downloaded,200.0,image/png
Derrick Brown,derrick brown,historical,2009,2009,2,exact_full_name,201974.0,Derrick Brown,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201974.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\derrick_brown__201974.png,downloaded,200.0,image/png
Earl Clark,earl clark,historical,2009,2009,2,exact_full_name,201947.0,Earl Clark,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201947.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\earl_clark__201947.png,downloaded,200.0,image/png
Eric Maynor,eric maynor,historical,2009,2009,2,exact_full_name,201953.0,Eric Maynor,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201953.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\eric_maynor__201953.png,downloaded,200.0,image/png
Gerald Henderson,gerald henderson,historical,2009,2009,1,exact_full_name,76993.0,Gerald Henderson,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76993.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\gerald_henderson__76993.png,downloaded,200.0,image/png
Hasheem Thabeet,hasheem thabeet,historical,2009,2009,1,exact_full_name,201934.0,Hasheem Thabeet,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201934.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\hasheem_thabeet__201934.png,downloaded,200.0,image/png
James Harden,james harden,historical,2009,2009,2,exact_full_name,201935.0,James Harden,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\james_harden__201935.png,downloaded,200.0,image/png
James Johnson,james johnson,historical,2009,2009,2,exact_full_name,201949.0,James Johnson,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201949.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\james_johnson__201949.png,downloaded,200.0,image/png
Jeff Teague,jeff teague,historical,2009,2009,1,exact_full_name,201952.0,Jeff Teague,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201952.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jeff_teague__201952.png,downloaded,200.0,image/png
Jermaine Taylor,jermaine taylor,historical,2009,2009,1,exact_full_name,201966.0,Jermaine Taylor,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201966.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\jermaine_taylor__201966.png,downloaded,200.0,image/png
