player_name,player_key,draft_year,match_method,nba_person_id,nba_full_name,headshot_url,local_file,download_status,http_status,content_type
AJ Griffin,aj griffin,2022,existing_cache,,,,,already_had_cached_headshot,,
Andrew Nembhard,andrew nembhard,2022,existing_cache,,,,,already_had_cached_headshot,,
Bennedict Mathurin,bennedict mathurin,2022,existing_cache,,,,,already_had_cached_headshot,,
Blake Wesley,blake wesley,2022,existing_cache,,,,,already_had_cached_headshot,,
Bryce McGowens,bryce mcgowens,2022,existing_cache,,,,,already_had_cached_headshot,,
Caleb Houstan,caleb houstan,2022,existing_cache,,,,,already_had_cached_headshot,,
Chet Holmgren,chet holmgren,2022,existing_cache,,,,,already_had_cached_headshot,,
Christian Braun,christian braun,2022,existing_cache,,,,,already_had_cached_headshot,,
Christian Koloko,christian koloko,2022,existing_cache,,,,,already_had_cached_headshot,,
Dalen Terry,dalen terry,2022,existing_cache,,,,,already_had_cached_headshot,,
Dyson Daniels,dyson daniels,2022,existing_cache,,,,,already_had_cached_headshot,,
Gabriele Procida,gabriele procida,2022,unmatched_nba_static,,,,,unmatched,,
Isaiah Mobley,isaiah mobley,2022,existing_cache,,,,,already_had_cached_headshot,,
Ismael Kamagate,ismael kamagate,2022,unmatched_nba_static,,,,,unmatched,,
JD Davison,jd davison,2022,existing_cache,,,,,already_had_cached_headshot,,
Jabari Smith Jr.,jabari smith,2022,existing_cache,,,,,already_had_cached_headshot,,
Jabari Walker,jabari walker,2022,existing_cache,,,,,already_had_cached_headshot,,
Jaden Hardy,jaden hardy,2022,existing_cache,,,,,already_had_cached_headshot,,
Jaden Ivey,jaden ivey,2022,existing_cache,,,,,already_had_cached_headshot,,
Jake LaRavia,jake laravia,2022,existing_cache,,,,,already_had_cached_headshot,,
Jalen Duren,jalen duren,2022,existing_cache,,,,,already_had_cached_headshot,,
Jalen Williams,jalen williams,2022,existing_cache,,,,,already_had_cached_headshot,,
Jaylin Williams,jaylin williams,2022,existing_cache,,,,,already_had_cached_headshot,,
Jeremy Sochan,jeremy sochan,2022,existing_cache,,,,,already_had_cached_headshot,,
Johnny Davis,johnny davis,2022,existing_cache,,,,,already_had_cached_headshot,,
Josh Minott,josh minott,2022,existing_cache,,,,,already_had_cached_headshot,,
Karlo Matković,karlo matkovi,2022,existing_cache,,,,,already_had_cached_headshot,,
Keegan Murray,keegan murray,2022,existing_cache,,,,,already_had_cached_headshot,,
Kendall Brown,kendall brown,2022,existing_cache,,,,,already_had_cached_headshot,,
Kennedy Chandler,kennedy chandler,2022,existing_cache,,,,,already_had_cached_headshot,,
Malaki Branham,malaki branham,2022,existing_cache,,,,,already_had_cached_headshot,,
MarJon Beauchamp,marjon beauchamp,2022,existing_cache,,,,,already_had_cached_headshot,,
Mark Williams,mark williams,2022,existing_cache,,,,,already_had_cached_headshot,,
Max Christie,max christie,2022,existing_cache,,,,,already_had_cached_headshot,,
Nikola Jović,nikola jovi,2022,existing_cache,,,,,already_had_cached_headshot,,
Ochai Agbaji,ochai agbaji,2022,existing_cache,,,,,already_had_cached_headshot,,
Ousmane Dieng,ousmane dieng,2022,existing_cache,,,,,already_had_cached_headshot,,
Paolo Banchero,paolo banchero,2022,existing_cache,,,,,already_had_cached_headshot,,
Patrick Baldwin Jr.,patrick baldwin,2022,existing_cache,,,,,already_had_cached_headshot,,
Peyton Watson,peyton watson,2022,existing_cache,,,,,already_had_cached_headshot,,
Ryan Rollins,ryan rollins,2022,existing_cache,,,,,already_had_cached_headshot,,
Shaedon Sharpe,shaedon sharpe,2022,existing_cache,,,,,already_had_cached_headshot,,
Tari Eason,tari eason,2022,existing_cache,,,,,already_had_cached_headshot,,
Trevor Keels,trevor keels,2022,existing_cache,,,,,already_had_cached_headshot,,
TyTy Washington Jr.,tyty washington,2022,existing_cache,,,,,already_had_cached_headshot,,
Walker Kessler,walker kessler,2022,existing_cache,,,,,already_had_cached_headshot,,
Wendell Moore Jr.,wendell moore,2022,existing_cache,,,,,already_had_cached_headshot,,
Adam Flagler,adam flagler,2023,nba_static_exact_norm,1641745,Adam Flagler,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\adam_flagler__1641745.png,downloaded,200,image/png
Adama Sanogo,adama sanogo,2023,nba_static_exact_norm,1641766,Adama Sanogo,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\adama_sanogo__1641766.png,downloaded,200,image/png
Amari Bailey,amari bailey,2023,nba_static_exact_norm,1641735,Amari Bailey,https://cdn.nba.com/headshots/nba/latest/1040x760/1641735.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\amari_bailey__1641735.png,downloaded,200,image/png
Amen Thompson,amen thompson,2023,nba_static_exact_norm,1641708,Amen Thompson,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\amen_thompson__1641708.png,downloaded,200,image/png
Andre Jackson Jr.,andre jackson,2023,nba_static_exact_norm,1641748,Andre Jackson Jr.,https://cdn.nba.com/headshots/nba/latest/1040x760/1641748.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\andre_jackson__1641748.png,downloaded,200,image/png
Anthony Black,anthony black,2023,nba_static_exact_norm,1641710,Anthony Black,https://cdn.nba.com/headshots/nba/latest/1040x760/1641710.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\anthony_black__1641710.png,downloaded,200,image/png
Ausar Thompson,ausar thompson,2023,nba_static_exact_norm,1641709,Ausar Thompson,https://cdn.nba.com/headshots/nba/latest/1040x760/1641709.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\ausar_thompson__1641709.png,downloaded,200,image/png
Azuolas Tubelis,azuolas tubelis,2023,unmatched_nba_static,,,,,unmatched,,
Ben Sheppard,ben sheppard,2023,nba_static_exact_norm,1641767,Ben Sheppard,https://cdn.nba.com/headshots/nba/latest/1040x760/1641767.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\ben_sheppard__1641767.png,downloaded,200,image/png
Bilal Coulibaly,bilal coulibaly,2023,nba_static_exact_norm,1641731,Bilal Coulibaly,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\bilal_coulibaly__1641731.png,downloaded,200,image/png
Brandin Podziemski,brandin podziemski,2023,nba_static_exact_norm,1641764,Brandin Podziemski,https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\brandin_podziemski__1641764.png,downloaded,200,image/png
Brandon Miller,brandon miller,2023,nba_static_exact_norm,1641706,Brandon Miller,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\brandon_miller__1641706.png,downloaded,200,image/png
Brice Sensabaugh,brice sensabaugh,2023,nba_static_exact_norm,1641729,Brice Sensabaugh,https://cdn.nba.com/headshots/nba/latest/1040x760/1641729.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\brice_sensabaugh__1641729.png,downloaded,200,image/png
Cam Whitmore,cam whitmore,2023,nba_static_exact_norm,1641715,Cam Whitmore,https://cdn.nba.com/headshots/nba/latest/1040x760/1641715.png,C:\Users\jksut\Downloads\Fun Data Testing\rsci_nlp_package_staging\nlp_draft_bias_research\outputs_llm_enhanced\headshot_cache\nba_cdn_latest_1040x760\cam_whitmore__1641715.png,downloaded,200,image/png
