trait_family,trait_label,game_hint_category,positive_column,risk_columns
feel_iq_passing,Feel / IQ / Passing,skill / scouting dimension,phrase_feel_iq_passing_positive,phrase_feel_iq_passing_negative | phrase_feel_iq_passing_mixed | phrase_feel_iq_passing_translation_caveat | phrase_feel_iq_passing_true_negative
shooting,Shooting,skill / scouting dimension,phrase_shooting_positive,phrase_shooting_negative | phrase_shooting_mixed | phrase_shooting_translation_caveat | phrase_shooting_true_negative
creation_handle,Creation / Handle,skill / scouting dimension,phrase_creation_handle_positive,phrase_creation_handle_negative | phrase_creation_handle_mixed | phrase_creation_handle_translation_caveat | phrase_creation_handle_true_negative
finishing_touch,Finishing Touch,skill / scouting dimension,phrase_finishing_touch_positive,phrase_finishing_touch_negative | phrase_finishing_touch_mixed | phrase_finishing_touch_translation_caveat | phrase_finishing_touch_true_negative
athleticism_tools,Athleticism / Tools,skill / scouting dimension,phrase_athleticism_tools_positive,phrase_athleticism_tools_negative | phrase_athleticism_tools_mixed | phrase_athleticism_tools_translation_caveat | phrase_athleticism_tools_true_negative
upside_tools,Upside / Tools,skill / scouting dimension,phrase_upside_tools_positive,phrase_upside_tools_negative | phrase_upside_tools_mixed | phrase_upside_tools_translation_caveat | phrase_upside_tools_true_negative
defense,Defense,skill / scouting dimension,phrase_defense_positive,phrase_defense_negative | phrase_defense_mixed | phrase_defense_translation_caveat | phrase_defense_true_negative
motor_competitiveness,Motor / Competitiveness,skill / scouting dimension,phrase_motor_competitiveness_positive,phrase_motor_competitiveness_negative | phrase_motor_competitiveness_mixed | phrase_motor_competitiveness_translation_caveat | phrase_motor_competitiveness_true_negative
size_frame,Size / Frame,skill / scouting dimension,phrase_size_frame_positive,phrase_size_frame_negative | phrase_size_frame_mixed | phrase_size_frame_translation_caveat | phrase_size_frame_true_negative
production_stats,Production / Stats,skill / scouting dimension,phrase_production_stats_positive,phrase_production_stats_negative | phrase_production_stats_mixed | phrase_production_stats_translation_caveat | phrase_production_stats_true_negative
injury_medical,Injury / Medical,skill / scouting dimension,phrase_injury_medical_positive,phrase_injury_medical_negative | phrase_injury_medical_mixed | phrase_injury_medical_translation_caveat | phrase_injury_medical_true_negative
risk_uncertainty,Risk / Uncertainty,skill / scouting dimension,phrase_risk_uncertainty_positive,phrase_risk_uncertainty_negative | phrase_risk_uncertainty_mixed | phrase_risk_uncertainty_translation_caveat | phrase_risk_uncertainty_true_negative
intel_consensus,Intel / Consensus,skill / scouting dimension,phrase_intel_consensus_positive,phrase_intel_consensus_negative | phrase_intel_consensus_mixed | phrase_intel_consensus_translation_caveat | phrase_intel_consensus_true_negative
other,Other,skill / scouting dimension,phrase_other_positive,phrase_other_negative | phrase_other_mixed | phrase_other_translation_caveat | phrase_other_true_negative
